cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
78,"['0.7906', '0.7662', '0.7134', '0.7128']","['0.5711', '0.5254', '0.3597', '0.4321']","['0.6654', '0.6109', '0.1580', '0.5397']","['0.6146', '0.5649', '0.2196', '0.4799']","['0.6654', '0.6109', '0.1580', '0.5397']","['0.8326', '0.8176', '0.9036', '0.7692']","[[1603, 412, 150, 244], [483, 1457, 157, 288], [480, 442, 387, 1140], [241, 462, 382, 1272]]",3,3
79,"['0.8060', '0.7858', '0.7163', '0.6842']","['0.6187', '0.5663', '0.3300', '0.4157']","['0.5919', '0.5895', '0.1090', '0.7060']","['0.6050', '0.5776', '0.1639', '0.5233']","['0.5919', '0.5895', '0.1090', '0.7060']","['0.8778', '0.8507', '0.9242', '0.6771']","[[1426, 406, 200, 377], [387, 1406, 138, 454], [348, 326, 267, 1508], [144, 345, 204, 1664]]",0,0
80,"['0.8065', '0.7835', '0.7140', '0.6981']","['0.6134', '0.5603', '0.3689', '0.4225']","['0.6185', '0.5983', '0.1707', '0.6258']","['0.6160', '0.5787', '0.2334', '0.5044']","['0.6185', '0.5983', '0.1707', '0.6258']","['0.8694', '0.8448', '0.9000', '0.7217']","[[1490, 403, 185, 331], [398, 1427, 170, 390], [383, 353, 418, 1295], [158, 364, 360, 1475]]",3,3
81,"['0.7969', '0.7773', '0.7283', '0.6906']","['0.5849', '0.5472', '0.3450', '0.4187']","['0.6563', '0.6000', '0.0723', '0.6695']","['0.6185', '0.5724', '0.1195', '0.5152']","['0.6563', '0.6000', '0.0723', '0.6695']","['0.8440', '0.8359', '0.9530', '0.6975']","[[1581, 405, 95, 328], [459, 1431, 74, 421], [443, 387, 177, 1442], [220, 392, 167, 1578]]",0,0
82,"['0.8075', '0.7843', '0.7278', '0.6848']","['0.6172', '0.5619', '0.3571', '0.4184']","['0.6131', '0.5975', '0.0837', '0.7272']","['0.6152', '0.5792', '0.1356', '0.5311']","['0.6131', '0.5975', '0.0837', '0.7272']","['0.8726', '0.8460', '0.9484', '0.6710']","[[1477, 388, 144, 400], [407, 1425, 96, 457], [357, 361, 205, 1526], [152, 362, 129, 1714]]",3,3
83,"['0.8126', '0.7920', '0.7127', '0.6808']","['0.6527', '0.5752', '0.3254', '0.4146']","['0.5413', '0.6222', '0.1176', '0.7276']","['0.5918', '0.5978', '0.1728', '0.5282']","['0.5413', '0.6222', '0.1176', '0.7276']","['0.9035', '0.8481', '0.9165', '0.6656']","[[1304, 481, 227, 397], [267, 1484, 151, 483], [314, 305, 288, 1542], [113, 310, 219, 1715]]",2,2
84,"['0.8094', '0.7802', '0.7071', '0.7158']","['0.6296', '0.5492', '0.3910', '0.4362']","['0.5836', '0.6436', '0.2658', '0.5380']","['0.6058', '0.5927', '0.3165', '0.4818']","['0.5836', '0.6436', '0.2658', '0.5380']","['0.8850', '0.8254', '0.8582', '0.7737']","[[1406, 480, 246, 277], [321, 1535, 224, 305], [360, 381, 651, 1057], [146, 399, 544, 1268]]",3,3
85,"['0.7974', '0.7684', '0.7214', '0.6982']","['0.5874', '0.5293', '0.3413', '0.4222']","['0.6472', '0.6130', '0.0992', '0.6220']","['0.6158', '0.5681', '0.1537', '0.5030']","['0.6472', '0.6130', '0.0992', '0.6220']","['0.8477', '0.8198', '0.9344', '0.7230']","[[1559, 418, 134, 298], [447, 1462, 112, 364], [433, 429, 243, 1344], [215, 453, 223, 1466]]",3,3
86,"['0.8042', '0.7823', '0.7217', '0.6856']","['0.6067', '0.5585', '0.3372', '0.4156']","['0.6243', '0.5904', '0.0943', '0.6903']","['0.6154', '0.5740', '0.1474', '0.5188']","['0.6243', '0.5904', '0.0943', '0.6903']","['0.8644', '0.8457', '0.9365', '0.6841']","[[1504, 393, 144, 368], [420, 1408, 118, 439], [391, 346, 231, 1481], [164, 374, 192, 1627]]",2,2
87,"['0.8020', '0.7839', '0.7191', '0.6941']","['0.5987', '0.5616', '0.3575', '0.4203']","['0.6397', '0.5925', '0.1270', '0.6491']","['0.6185', '0.5766', '0.1874', '0.5103']","['0.6397', '0.5925', '0.1270', '0.6491']","['0.8563', '0.8471', '0.9218', '0.7087']","[[1541, 403, 149, 316], [414, 1413, 136, 422], [423, 343, 311, 1372], [196, 357, 274, 1530]]",0,0
88,"['0.8034', '0.7797', '0.7173', '0.6958']","['0.6055', '0.5520', '0.3447', '0.4234']","['0.6218', '0.6013', '0.1200', '0.6602']","['0.6136', '0.5756', '0.1781', '0.5159']","['0.6218', '0.6013', '0.1200', '0.6602']","['0.8643', '0.8387', '0.9218', '0.7074']","[[1498, 393, 183, 335], [425, 1434, 136, 390], [388, 373, 294, 1394], [163, 398, 240, 1556]]",0,0
89,"['0.7880', '0.7800', '0.7223', '0.6982']","['0.5648', '0.5559', '0.3520', '0.4236']","['0.6770', '0.5694', '0.1053', '0.6356']","['0.6158', '0.5626', '0.1622', '0.5084']","['0.6770', '0.5694', '0.1053', '0.6356']","['0.8252', '0.8496', '0.9336', '0.7186']","[[1631, 348, 130, 300], [522, 1358, 109, 396], [489, 360, 258, 1342], [246, 377, 236, 1498]]",3,3
90,"['0.8079', '0.7788', '0.7129', '0.6887']","['0.6274', '0.5484', '0.3262', '0.4170']","['0.5774', '0.6205', '0.1176', '0.6725']","['0.6014', '0.5822', '0.1729', '0.5148']","['0.5774', '0.6205', '0.1176', '0.6725']","['0.8851', '0.8310', '0.9168', '0.6940']","[[1391, 441, 217, 360], [348, 1480, 143, 414], [349, 370, 288, 1442], [129, 408, 235, 1585]]",3,3
91,"['0.8065', '0.7780', '0.7132', '0.7004']","['0.6171', '0.5465', '0.3552', '0.4252']","['0.6027', '0.6256', '0.1523', '0.6254']","['0.6098', '0.5834', '0.2132', '0.5062']","['0.6027', '0.6256', '0.1523', '0.6254']","['0.8747', '0.8284', '0.9053', '0.7248']","[[1452, 432, 214, 311], [374, 1492, 147, 372], [376, 390, 373, 1310], [151, 416, 316, 1474]]",0,0
92,"['0.7833', '0.7736', '0.7202', '0.7034']","['0.5553', '0.5433', '0.3762', '0.4239']","['0.6862', '0.5572', '0.1470', '0.5791']","['0.6138', '0.5502', '0.2114', '0.4895']","['0.6862', '0.5572', '0.1470', '0.5791']","['0.8159', '0.8452', '0.9165', '0.7439']","[[1653, 345, 146, 265], [566, 1329, 129, 361], [490, 370, 360, 1229], [268, 402, 322, 1365]]",1,1
93,"['0.8041', '0.7750', '0.7174', '0.6994']","['0.6062', '0.5417', '0.3584', '0.4241']","['0.6256', '0.6122', '0.1364', '0.6275']","['0.6157', '0.5748', '0.1976', '0.5062']","['0.6256', '0.6122', '0.1364', '0.6275']","['0.8639', '0.8288', '0.9164', '0.7228']","[[1507, 406, 190, 306], [423, 1460, 127, 375], [390, 398, 334, 1327], [166, 431, 281, 1479]]",1,1
94,"['0.8090', '0.7827', '0.7122', '0.6932']","['0.6292', '0.5573', '0.3493', '0.4210']","['0.5812', '0.6101', '0.1486', '0.6648']","['0.6042', '0.5825', '0.2085', '0.5155']","['0.5812', '0.6101', '0.1486', '0.6648']","['0.8853', '0.8398', '0.9052', '0.7025']","[[1400, 430, 243, 336], [351, 1455, 144, 435], [345, 356, 364, 1384], [129, 370, 291, 1567]]",2,2
95,"['0.8091', '0.7734', '0.7134', '0.7103']","['0.6289', '0.5362', '0.3849', '0.4328']","['0.5832', '0.6516', '0.2062', '0.5796']","['0.6052', '0.5883', '0.2685', '0.4956']","['0.5832', '0.6516', '0.2062', '0.5796']","['0.8847', '0.8137', '0.8871', '0.7529']","[[1405, 498, 235, 271], [316, 1554, 173, 342], [359, 408, 505, 1177], [154, 438, 399, 1366]]",1,1
96,"['0.8043', '0.7701', '0.7200', '0.7037']","['0.6092', '0.5309', '0.3609', '0.4292']","['0.6135', '0.6403', '0.1266', '0.6262']","['0.6114', '0.5805', '0.1874', '0.5093']","['0.6135', '0.6403', '0.1266', '0.6262']","['0.8682', '0.8130', '0.9232', '0.7290']","[[1478, 440, 178, 313], [390, 1527, 125, 343], [387, 445, 310, 1307], [171, 464, 246, 1476]]",0,0
97,"['0.8030', '0.7842', '0.7194', '0.7003']","['0.6030', '0.5607', '0.3717', '0.4268']","['0.6293', '0.6063', '0.1450', '0.6432']","['0.6159', '0.5826', '0.2086', '0.5131']","['0.6293', '0.6063', '0.1450', '0.6432']","['0.8612', '0.8430', '0.9161', '0.7189']","[[1516, 408, 178, 307], [402, 1446, 139, 398], [408, 355, 355, 1331], [188, 370, 283, 1516]]",3,3
