cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
65,"['0.7935', '0.7724', '0.7226', '0.6933']","['0.5752', '0.5448', '0.3426', '0.4320']","['0.6409', '0.5427', '0.1356', '0.6378']","['0.6063', '0.5437', '0.1943', '0.5152']","['0.6409', '0.5427', '0.1356', '0.6378']","['0.8439', '0.8489', '0.9148', '0.7124']","[[1526, 401, 180, 274], [528, 1302, 129, 440], [396, 309, 321, 1342], [203, 378, 307, 1564]]",3,3
66,"['0.7956', '0.7731', '0.7210', '0.6919']","['0.5842', '0.5456', '0.3308', '0.4329']","['0.6102', '0.5515', '0.1280', '0.6660']","['0.5970', '0.5485', '0.1845', '0.5247']","['0.6102', '0.5515', '0.1280', '0.6660']","['0.8568', '0.8470', '0.9152', '0.7008']","[[1453, 427, 214, 287], [497, 1323, 118, 461], [363, 311, 303, 1391], [174, 364, 281, 1633]]",3,3
67,"['0.7940', '0.7681', '0.7227', '0.6958']","['0.5764', '0.5349', '0.3409', '0.4343']","['0.6388', '0.5523', '0.1330', '0.6305']","['0.6060', '0.5435', '0.1914', '0.5143']","['0.6388', '0.5523', '0.1330', '0.6305']","['0.8451', '0.8400', '0.9158', '0.7182']","[[1521, 416, 181, 263], [525, 1325, 127, 422], [393, 331, 315, 1329], [200, 405, 301, 1546]]",0,0
68,"['0.7944', '0.7704', '0.7233', '0.6942']","['0.5780', '0.5399', '0.3396', '0.4337']","['0.6333', '0.5498', '0.1288', '0.6456']","['0.6044', '0.5448', '0.1868', '0.5188']","['0.6333', '0.5498', '0.1288', '0.6456']","['0.8475', '0.8439', '0.9180', '0.7108']","[[1508, 417, 182, 274], [515, 1319, 125, 440], [387, 323, 305, 1353], [199, 384, 286, 1583]]",3,3
69,"['0.7952', '0.7770', '0.7224', '0.6910']","['0.5807', '0.5554', '0.3355', '0.4323']","['0.6270', '0.5390', '0.1280', '0.6697']","['0.6030', '0.5471', '0.1853', '0.5254']","['0.6270', '0.5390', '0.1280', '0.6697']","['0.8507', '0.8563', '0.9170', '0.6984']","[[1493, 402, 198, 288], [512, 1293, 120, 474], [376, 295, 303, 1394], [190, 338, 282, 1642]]",0,0
70,"['0.7933', '0.7730', '0.7233', '0.6949']","['0.5755', '0.5460', '0.3414', '0.4350']","['0.6354', '0.5444', '0.1309', '0.6513']","['0.6040', '0.5452', '0.1893', '0.5216']","['0.6354', '0.5444', '0.1309', '0.6513']","['0.8454', '0.8492', '0.9173', '0.7098']","[[1513, 405, 186, 277], [524, 1306, 123, 446], [390, 317, 310, 1351], [202, 364, 289, 1597]]",1,1
71,"['0.7911', '0.7705', '0.7239', '0.6959']","['0.5687', '0.5404', '0.3398', '0.4343']","['0.6539', '0.5461', '0.1267', '0.6297']","['0.6083', '0.5432', '0.1846', '0.5141']","['0.6539', '0.5461', '0.1267', '0.6297']","['0.8364', '0.8453', '0.9194', '0.7187']","[[1557, 407, 161, 256], [546, 1310, 123, 420], [415, 318, 300, 1335], [220, 389, 299, 1544]]",3,3
72,"['0.7964', '0.7765', '0.7208', '0.6941']","['0.5840', '0.5528', '0.3354', '0.4348']","['0.6220', '0.5523', '0.1343', '0.6595']","['0.6024', '0.5525', '0.1918', '0.5241']","['0.6220', '0.5523', '0.1343', '0.6595']","['0.8539', '0.8511', '0.9129', '0.7059']","[[1481, 409, 212, 279], [498, 1325, 122, 454], [372, 309, 318, 1369], [185, 354, 296, 1617]]",0,0
73,"['0.7979', '0.7779', '0.7202', '0.6948']","['0.5890', '0.5555', '0.3410', '0.4357']","['0.6128', '0.5573', '0.1440', '0.6603']","['0.6007', '0.5564', '0.2025', '0.5250']","['0.6128', '0.5573', '0.1440', '0.6603']","['0.8590', '0.8514', '0.9089', '0.7066']","[[1459, 418, 225, 279], [477, 1337, 131, 454], [362, 301, 341, 1364], [179, 351, 303, 1619]]",1,1
74,"['0.7927', '0.7780', '0.7189', '0.6969']","['0.5744', '0.5568', '0.3385', '0.4361']","['0.6342', '0.5477', '0.1465', '0.6378']","['0.6028', '0.5522', '0.2045', '0.5181']","['0.6342', '0.5477', '0.1465', '0.6378']","['0.8450', '0.8547', '0.9062', '0.7171']","[[1510, 400, 207, 264], [519, 1314, 136, 430], [395, 298, 347, 1328], [205, 348, 335, 1564]]",0,0
